,date,volume,total_price,open,high,low,close,spread,transactions_number
0,103/07/01,"33,022,537","4,220,113,199",126.50,128.50,126.00,128.00,+1.50,"7,806"
1,103/07/02,"51,623,745","6,784,671,858",129.50,132.50,129.00,132.50,+4.50,"13,133"
2,103/07/03,"41,188,579","5,481,357,096",131.50,135.00,130.50,134.50,+2.00,"12,822"
3,103/07/04,"44,516,194","5,982,542,686",133.50,136.00,132.00,135.00,+0.50,"13,513"
4,103/07/07,"32,207,808","4,359,167,895",134.50,136.00,132.50,136.00,+1.00,"10,456"
5,103/07/08,"36,299,510","4,898,844,484",135.50,136.00,134.00,134.50,-1.50,"7,852"
6,103/07/09,"39,336,800","5,286,821,200",133.50,135.00,133.50,134.00,-0.50,"10,775"
7,103/07/10,"51,132,233","6,904,690,475",134.50,136.00,134.50,134.50,+0.50,"9,008"
8,103/07/11,"43,513,681","5,946,107,116",136.00,138.00,135.50,136.50,+2.00,"11,824"
9,103/07/14,"46,818,367","6,256,723,781",134.50,134.50,132.50,132.50,X0.00,"14,589"
10,103/07/15,"37,976,398","5,061,898,434",133.00,134.00,132.50,133.00,+0.50,"8,483"
11,103/07/16,"42,072,768","5,539,818,008",133.00,133.50,130.00,130.50,-2.50,"10,001"
12,103/07/17,"138,665,459","17,243,062,335",125.00,125.50,123.00,124.50,-6.00,"34,866"
13,103/07/18,"97,366,229","11,985,660,029",121.50,124.00,121.50,123.50,-1.00,"21,786"
14,103/07/21,"58,994,337","7,298,292,910",124.00,124.50,122.50,123.50, 0.00,"15,070"
15,103/07/22,"53,307,488","6,611,629,704",123.50,125.00,122.50,124.50,+1.00,"12,061"
16,103/07/24,"66,041,379","8,233,198,975",124.50,125.00,124.00,125.00,+0.50,"12,534"
17,103/07/25,"31,609,284","3,901,955,314",124.50,125.00,122.50,123.00,-2.00,"11,359"
18,103/07/28,"43,514,580","5,296,514,760",122.00,122.50,121.00,121.50,-1.50,"13,121"
19,103/07/29,"40,749,556","5,009,947,804",122.50,124.00,122.00,124.00,+2.50,"11,381"
20,103/07/30,"32,428,969","4,031,742,597",123.50,125.00,123.00,124.50,+0.50,"7,029"
21,103/07/31,"44,806,071","5,461,570,662",124.00,124.00,121.00,121.00,-3.50,"13,163"
