,date,volume,total_price,open,high,low,close,spread,transactions_number
0,103/05/02,"45,030,119","5,324,516,642",119.00,119.50,117.00,118.00,-0.50,"9,573"
1,103/05/05,"28,887,828","3,374,584,476",117.50,118.00,116.00,117.00,-1.00,"8,961"
2,103/05/06,"27,525,257","3,247,099,826",117.00,119.00,116.50,118.00,+1.00,"5,217"
3,103/05/07,"33,276,563","3,931,216,686",118.00,119.00,117.50,118.50,+0.50,"6,945"
4,103/05/08,"30,096,125","3,594,265,403",119.50,120.00,119.00,119.50,+1.00,"5,599"
5,103/05/09,"23,287,585","2,785,144,700",120.00,120.00,119.00,120.00,+0.50,"6,405"
6,103/05/12,"37,048,901","4,390,300,238",119.50,120.00,117.50,118.50,-1.50,"6,664"
7,103/05/13,"24,046,010","2,894,574,200",120.00,121.00,119.50,120.50,+2.00,"7,767"
8,103/05/14,"32,903,344","3,991,162,751",121.00,122.00,120.50,122.00,+1.50,"9,719"
9,103/05/15,"16,813,508","2,040,805,195",121.00,122.00,120.50,122.00, 0.00,"5,040"
10,103/05/16,"28,679,719","3,497,688,718",122.00,123.00,121.00,122.00, 0.00,"7,047"
11,103/05/19,"20,829,956","2,524,459,168",122.00,122.50,121.00,121.00,-1.00,"5,325"
12,103/05/20,"25,402,168","3,088,614,323",122.00,122.00,121.00,121.00, 0.00,"7,109"
13,103/05/21,"24,218,702","2,935,442,563",122.00,122.00,120.50,120.50,-0.50,"6,337"
14,103/05/22,"26,336,625","3,198,768,892",121.50,122.00,121.00,122.00,+1.50,"5,227"
15,103/05/23,"31,778,175","3,866,486,107",121.00,122.50,121.00,122.00, 0.00,"6,260"
16,103/05/26,"19,854,258","2,439,783,565",123.00,123.50,122.00,123.00,+1.00,"7,319"
17,103/05/27,"18,301,066","2,259,936,878",122.50,124.00,122.50,123.50,+0.50,"6,092"
18,103/05/28,"37,799,997","4,658,742,565",124.00,124.00,122.50,124.00,+0.50,"8,443"
19,103/05/29,"43,079,080","5,267,063,156",123.50,124.00,121.50,122.00,-2.00,"9,131"
20,103/05/30,"69,113,681","8,318,164,317",122.00,122.50,119.50,119.50,-2.50,"10,342"
