,date,volume,total_price,open,high,low,close,spread,transactions_number
0,104/11/02,"22,789,011","3,118,360,787",138.50,138.50,135.50,137.50,+1.00,"7,961"
1,104/11/03,"36,442,564","5,082,111,090",138.50,140.00,138.00,139.50,+2.00,"12,148"
2,104/11/04,"75,685,074","10,841,451,697",141.50,144.50,141.00,144.50,+5.00,"27,863"
3,104/11/05,"37,827,858","5,414,337,809",144.00,144.50,142.50,142.50,-2.00,"12,575"
4,104/11/06,"51,889,334","7,276,506,260",144.00,144.00,139.00,140.00,-2.50,"12,543"
5,104/11/09,"24,863,486","3,518,529,742",141.00,143.00,140.50,142.00,+2.00,"8,727"
6,104/11/10,"23,336,811","3,261,350,610",141.50,141.50,139.00,139.50,-2.50,"9,060"
7,104/11/11,"29,463,476","4,066,008,922",140.50,140.50,136.50,137.50,-2.00,"10,751"
8,104/11/12,"16,485,910","2,284,668,490",138.50,139.00,138.00,138.50,+1.00,"5,091"
9,104/11/13,"22,956,373","3,148,276,101",137.50,139.00,136.00,136.00,-2.50,"7,418"
10,104/11/16,"32,132,740","4,335,757,140",134.00,135.50,134.00,135.00,-1.00,"13,597"
11,104/11/17,"28,224,719","3,926,485,043",138.00,140.00,137.50,138.50,+3.50,"11,370"
12,104/11/18,"29,455,424","4,057,302,068",139.50,140.00,136.50,137.00,-1.50,"9,025"
13,104/11/19,"28,723,691","4,004,226,290",138.50,140.50,138.00,140.50,+3.50,"9,283"
14,104/11/20,"21,649,438","3,041,708,710",140.50,141.00,140.00,141.00,+0.50,"7,571"
15,104/11/23,"20,543,619","2,890,125,945",141.00,141.50,140.00,141.00, 0.00,"4,707"
16,104/11/24,"23,245,808","3,261,352,468",140.00,141.50,139.50,139.50,-1.50,"5,910"
17,104/11/25,"34,540,578","4,841,255,700",139.50,141.00,138.50,141.00,+1.50,"6,240"
18,104/11/26,"32,927,905","4,672,046,212",141.00,142.50,140.00,142.50,+1.50,"9,850"
19,104/11/27,"26,742,675","3,747,289,825",143.00,143.00,139.00,139.00,-3.50,"5,730"
20,104/11/30,"110,350,217","15,219,982,613",136.50,139.00,136.00,139.00, 0.00,"16,059"
