,date,volume,total_price,open,high,low,close,spread,transactions_number
0,103/10/01,"42,581,377","5,158,093,766",120.00,122.00,120.00,121.50,+1.50,"10,354"
1,103/10/02,"30,795,615","3,731,056,693",121.00,122.50,120.50,121.00,-0.50,"7,962"
2,103/10/03,"52,042,943","6,451,706,432",122.50,125.00,122.00,124.50,+3.50,"13,294"
3,103/10/06,"39,292,993","4,917,395,077",125.00,126.00,124.00,126.00,+1.50,"8,484"
4,103/10/07,"40,188,171","5,008,511,591",125.00,125.50,123.50,125.00,-1.00,"9,286"
5,103/10/08,"30,938,590","3,822,790,343",123.50,125.00,122.50,122.50,-2.50,"7,052"
6,103/10/09,"37,115,519","4,618,115,675",124.00,125.00,123.50,125.00,+2.50,"8,511"
7,103/10/13,"77,985,231","9,387,511,086",119.00,121.50,118.00,120.50,-4.50,"17,422"
8,103/10/14,"31,887,790","3,860,053,450",120.00,121.50,119.50,121.00,+0.50,"7,721"
9,103/10/15,"50,496,268","6,152,445,530",121.50,123.00,121.00,121.50,+0.50,"8,865"
10,103/10/16,"46,431,478","5,646,852,831",121.50,124.00,120.00,121.50, 0.00,"10,408"
11,103/10/17,"92,077,567","11,471,479,741",125.00,125.50,123.50,123.50,+2.00,"17,100"
12,103/10/20,"38,619,120","4,836,985,013",125.00,126.00,124.50,126.00,+2.50,"10,285"
13,103/10/21,"25,647,836","3,212,361,500",126.00,126.00,124.50,125.00,-1.00,"5,980"
14,103/10/22,"65,855,978","8,448,819,662",127.50,129.00,127.50,129.00,+4.00,"18,767"
15,103/10/23,"28,085,000","3,592,328,456",128.00,128.50,127.50,127.50,-1.50,"7,546"
16,103/10/24,"42,161,680","5,309,444,319",127.00,127.50,125.00,125.50,-2.00,"11,207"
17,103/10/27,"25,145,300","3,198,861,200",126.50,128.00,126.50,128.00,+2.50,"6,666"
18,103/10/28,"35,018,669","4,502,178,132",129.00,129.50,127.50,128.00, 0.00,"9,193"
19,103/10/29,"34,860,584","4,492,215,211",129.00,129.50,128.00,129.00,+1.00,"9,425"
20,103/10/30,"35,723,762","4,573,685,036",128.50,129.00,127.00,128.50,-0.50,"6,368"
21,103/10/31,"42,413,458","5,477,556,934",128.00,130.50,127.50,130.50,+2.00,"8,496"
